sample_index,mission_success,normalized_orbit_error
321,0,61.7080795179
322,0,110.355490423
323,0,58.7626351928
324,0,46.3722244178
325,0,75.2372430045
326,0,58.2189868967
327,0,217.992125642
328,0,13.6725831415
329,0,11.7343980648
330,0,34.8603959357
331,0,43.8875163434
332,0,106.89510213
333,0,11.0700821942
334,0,35.4242833768
335,0,28.24944377
336,0,81.7763109461
337,0,17.9083432054
338,0,70.2083448501
339,0,55.8586886408
340,0,31.2242544288
341,0,2.90270546013
342,0,60.3074840131
343,0,62.0138144161
344,0,54.1067403413
345,0,212.154691982
346,0,111.184474803
347,0,44.2305590898
348,0,70.1614362829
349,0,83.9038343926
350,0,16.0503081692
351,0,125.718375204
352,0,185.497876901
353,0,24.2437468026
354,0,115.813238301
355,0,49.3249318365
356,0,97.1485852663
357,0,70.6907265993
358,0,20.7396188834
359,0,15.2567041416
360,0,7.36466170493
361,0,139.270040417
362,0,19.3980867276
363,0,58.1399235632
364,0,13.2609404207
365,0,37.6918355189
366,0,6.62312053797
367,0,14.9377178251
368,0,1.87994921335
369,0,40.1653464996
370,0,104.778435609
371,0,40.3620445016
372,0,109.266446175
373,0,35.9561943728
374,0,51.9894929335
375,0,32.8687255309
376,0,27.9489872346
377,0,106.572293996
378,0,13.8360955411
379,0,21.8885607181
380,0,84.1283961153
381,0,31.4645617943
382,0,9.77251854624
383,0,69.261353859
384,0,4.74203401012
385,0,116.614223382
386,0,142.542677826
387,0,30.0368213092
388,0,41.9134094299
389,0,13.9134068465
390,0,110.538061514
391,0,32.7353854268
392,0,72.2589604867
393,0,45.9678859474
394,0,52.1377522328
395,0,148.188209011
396,0,80.2794169516
397,0,69.2389779867
398,0,7.1961270662
399,0,195.449008112
400,0,10.6396063034
