trial,label,status,solver_success,mission_success,mission_success_slack,raw_path_ok,path_ok_slack,progress,time_s,downrange_km,ellipsoidal_altitude_km,velocity_m_s,mass_kg,x_m,y_m,z_m
6,rand_05,PASS_RAW,1,1,1,1,1,0.856666666667,512.766561137,1562.40671384,408.254973251,6373.30400335,451791.515341,1115739.80905,-6079133.39506,2793732.79153
6,rand_05,PASS_RAW,1,1,1,1,1,0.86,514.761761764,1573.53897839,408.939577664,6398.19042102,448642.132144,1128355.73956,-6078312.2053,2792121.56593
6,rand_05,PASS_RAW,1,1,1,1,1,0.863333333333,516.756962391,1584.71102016,409.611183076,6423.24769282,445492.738778,1141009.7714,-6077456.11447,2790489.60463
6,rand_05,PASS_RAW,1,1,1,1,1,0.866666666667,518.752163018,1595.9317947,410.266865096,6448.51602319,442343.333406,1153710.35483,-6076557.20364,2788832.22092
6,rand_05,PASS_RAW,1,1,1,1,1,0.87,520.747363645,1607.2053088,410.905469961,6474.00308902,439193.906728,1166461.14323,-6075611.99815,2787147.36225
6,rand_05,PASS_RAW,1,1,1,1,1,0.873333333333,522.742564272,1618.51778518,411.531503312,6499.66068145,436044.469319,1179248.91112,-6074632.57523,2785442.20785
6,rand_05,PASS_RAW,1,1,1,1,1,0.876666666667,524.737764899,1629.88285491,412.140617882,6525.54250963,432895.011897,1192086.44803,-6073606.93429,2783709.6561
6,rand_05,PASS_RAW,1,1,1,1,1,0.88,526.732965526,1641.29544453,412.734579598,6551.6264778,429745.533876,1204968.81038,-6072539.57753,2781952.38374
6,rand_05,PASS_RAW,1,1,1,1,1,0.883333333333,528.728166153,1652.75668343,413.31306322,6577.9296023,426596.043214,1217896.91664,-6071429.47128,2780169.79596
6,rand_05,PASS_RAW,1,1,1,1,1,0.886666666667,530.72336678,1664.27182012,413.874498988,6604.45753026,423446.521294,1230875.53071,-6070272.00487,2778359.17757
6,rand_05,PASS_RAW,1,1,1,1,1,0.89,532.718567407,1675.82884417,414.422771474,6631.16959909,420296.980907,1243893.2803,-6069077.74764,2776526.79292
6,rand_05,PASS_RAW,1,1,1,1,1,0.893333333333,534.713768034,1687.43789792,414.954724844,6658.11536168,417147.421009,1256959.50117,-6067837.74986,2774667.3642
6,rand_05,PASS_RAW,1,1,1,1,1,0.896666666667,536.708968661,1699.10420269,415.468875687,6685.30509516,413997.82319,1270078.86668,-6066547.46001,2772778.21327
6,rand_05,PASS_RAW,1,1,1,1,1,0.9,538.704169288,1710.81184382,415.970208078,6712.68186145,410848.206592,1283236.48541,-6065220.83126,2770867.59986
