phase,interval_index,solver_ok,end_position_error_m,end_velocity_error_m_s,end_mass_error_kg,max_relative_error,sampled_max_q_pa,sampled_max_g,q_margin_pa,g_margin
boost,75,1,1.00897626861e-06,3.24344900134e-08,4.65661287308e-10,5.26792738631e-11,26647.7339322,2.53645534308,-8352.26606776,-1.46354465692
boost,76,1,9.30846612641e-07,3.0329133016e-08,0,4.73600856534e-11,25731.0228751,2.55843594358,-9268.97712491,-1.44156405642
boost,77,1,8.58675499605e-07,2.82647552821e-08,0,4.24221329178e-11,24805.1008782,2.5807307241,-10194.8991218,-1.4192692759
boost,78,1,7.90773771386e-07,2.62505189388e-08,0,3.78562581511e-11,23873.5882058,2.60334821208,-11126.4117942,-1.39665178792
boost,79,1,7.25490870718e-07,2.42929437261e-08,0,3.36499713759e-11,22939.937956,2.62629745554,-12060.062044,-1.37370254446
boost,80,1,1.69543678057e-06,9.52400385048e-07,4.65661287308e-10,1.06072144248e-09,22007.4241014,2.64935106035,-12992.5758986,-1.35064893965
boost,81,1,6.2013856252e-07,2.02746219287e-08,4.65661287308e-10,2.57315025875e-11,21079.0739728,2.67277130685,-13920.9260272,-1.32722869315
boost,82,1,5.68043800173e-07,1.85569758995e-08,4.65661287308e-10,2.25599956201e-11,20157.7426326,2.69656847586,-14842.2573674,-1.30343152414
boost,83,1,5.20833823255e-07,1.69158974796e-08,0,1.96839679921e-11,19246.1493426,2.72075398731,-15753.8506574,-1.27924601269
boost,84,1,4.77895601652e-07,1.53534487424e-08,4.65661287308e-10,1.7085621831e-11,18346.8034863,2.74533969059,-16653.1965137,-1.25466030941
boost,85,1,4.39087127952e-07,1.38742999695e-08,4.65661287308e-10,1.47485806934e-11,17462.0033966,2.7703378594,-17537.9966034,-1.2296621406
boost,86,1,4.04569373138e-07,1.24777723597e-08,0,1.26536102176e-11,16593.8369243,2.79576118364,-18406.1630757,-1.20423881636
boost,87,1,3.74329860452e-07,1.11648034822e-08,0,1.07829166641e-11,15744.1835322,2.8216227588,-19255.8164678,-1.1783772412
boost,88,1,3.48516910272e-07,9.93544224127e-09,4.65661287308e-10,9.11931757246e-12,14914.7177489,2.84793607361,-20085.2822511,-1.15206392639
boost,89,1,3.25699217702e-07,8.78864818092e-09,0,7.64461788306e-12,14106.9138172,2.87471499674,-20893.0861828,-1.12528500326
boost,90,1,3.07141149374e-07,7.72250452197e-09,0,6.3419707183e-12,13322.0513811,2.90197376337,-21677.9486189,-1.09802623663
boost,91,1,2.9274879757e-07,6.73416903192e-09,0,5.19532874475e-12,12561.2220602,2.92972696286,-22438.7779398,-1.07027303714
boost,92,1,2.81298444797e-07,5.82226918505e-09,0,4.18917172965e-12,11825.3367695,2.95798952855,-23174.6632305,-1.04201047145
