thrust_multiplier,density_multiplier,strict_success,fuel_margin_kg,normalized_orbit_error,altitude_error_m,velocity_error_m_s,q_ok,g_ok,status
0.94,0.88,0,275411.73253,53.1812199842,-254609.942777,-667.753487079,1,1,MISS
0.952,0.88,0,263608.566608,43.107217136,-204603.278664,-547.986622024,1,1,MISS
0.964,0.88,0,251805.28807,32.7707876811,-154145.779918,-421.677107667,1,1,MISS
0.976,0.88,0,240001.994926,22.1342646188,-103077.1814,-288.414684586,1,1,MISS
0.988,0.88,0,228198.75086,11.1632961954,-51257.5276488,-147.788909817,1,1,MISS
1,0.88,1,216395.452457,0.210586476081,1439.44566547,0.623190334036,1,1,PASS
1.012,0.88,0,204592.353055,11.9150245415,55128.909714,157.266401513,1,0,MISS
1.024,0.88,0,192789.00132,24.0847886175,109915.074902,322.626079578,1,0,MISS
1.036,0.88,0,180985.744662,36.71965643,165901.399342,497.221800531,1,0,MISS
1.048,0.88,0,169182.504938,49.8550124307,223193.534957,681.635290007,1,0,MISS
1.06,0.88,0,157379.37834,63.5287794398,281897.891711,876.510395875,0,0,MISS
0.94,0.92,0,275411.79199,53.3016771974,-255480.343836,-668.275118842,1,1,MISS
0.952,0.92,0,263608.513661,43.2078921195,-205350.04189,-548.403379381,1,1,MISS
0.964,0.92,0,251805.284806,32.8562321566,-154796.287333,-422.015908973,1,1,MISS
0.976,0.92,0,240002.020185,22.2081029721,-103654.439969,-288.696152555,1,1,MISS
0.988,0.92,0,228198.811321,11.228114702,-51778.473546,-148.026864943,1,1,MISS
1,0.92,1,216395.666745,0.140340102688,959.254631454,0.415832037281,1,1,PASS
1.012,0.92,0,204592.31365,11.8610797057,54680.1944052,157.08400406,1,0,MISS
1.024,0.92,0,192789.038351,24.0346973831,109487.742514,322.460638645,1,0,MISS
1.036,0.92,0,180985.745349,36.6722750822,165489.167644,497.067740671,0,0,MISS
1.048,0.92,0,169182.559145,49.8091437987,222788.950669,681.483814977,0,0,MISS
1.06,0.92,0,157379.323639,63.4838149463,281495.314169,876.3608501,0,0,MISS
0.94,0.96,0,275411.751912,53.4229749812,-256354.85973,-668.801839049,0,1,MISS
0.952,0.96,0,263608.583053,43.3093500983,-206100.293294,-548.827662622,0,1,MISS
0.964,0.96,0,251805.244569,32.9422634905,-155450.059787,-422.360077386,1,1,MISS
0.976,0.96,0,240002.03886,22.2822566721,-104232.856194,-288.979839521,1,1,MISS
0.988,0.96,0,228198.885836,11.2934429346,-52300.913065,-148.267746767,1,1,MISS
1,0.96,1,216395.538818,0.0701414056612,478.919458237,0.211438691229,1,1,PASS
1.012,0.96,0,204592.356098,11.8072816566,54231.2101641,156.902368308,1,0,MISS
1.024,0.96,0,192788.979064,23.9845181268,109060.148456,322.293663994,0,0,MISS
1.036,0.96,0,180985.813452,36.6246121878,165076.521899,496.907957009,0,0,MISS
1.048,0.96,0,169182.491935,49.7633069878,222384.041785,681.333398041,0,0,MISS
1.06,0.96,0,157379.54616,63.4387437245,281092.635946,876.208318837,0,0,MISS
0.94,1,0,275411.803289,53.5451541582,-257234.727662,-669.333643229,0,1,MISS
0.952,1,0,263608.560687,43.4112653048,-206853.704437,-549.252203648,0,1,MISS
0.964,1,0,251805.268898,33.0287034138,-156105.858833,-422.704722302,0,1,MISS
0.976,1,0,240001.984782,22.3570453963,-104814.552734,-289.265549911,0,1,MISS
0.988,1,0,228198.797873,11.3590711421,-52825.6365027,-148.507829462,1,1,MISS
1,1,1,216395.507502,0.000328877205693,-1.83856468741,0.00189638185566,1,1,PASS
1.012,1,0,204592.245811,11.7534332006,53781.3845192,156.71896015,0,0,MISS
1.024,1,0,192788.99896,23.9344024189,108633.495993,322.125348413,0,0,MISS
1.036,1,0,180985.788225,36.5770274156,164662.882756,496.751533607,0,0,MISS
1.048,1,0,169182.543852,49.7172717848,221978.610501,681.180011525,0,0,MISS
1.06,1,0,157379.344436,63.3940520293,280692.018031,876.060296172,0,0,MISS
0.94,1.04,0,275411.776583,53.6682119902,-258119.104028,-669.871445569,0,1,MISS
0.952,1.04,0,263608.514506,43.5138621424,-207610.389943,-549.682544274,0,1,MISS
0.964,1.04,0,251805.224418,33.1157565554,-156764.105362,-423.055388249,0,1,MISS
0.976,1.04,0,240002.00997,22.4320229429,-105396.967826,-289.554152124,0,1,MISS
0.988,1.04,0,228198.812984,11.4251698701,-53351.7058205,-148.751030651,0,1,MISS
1,1.04,0,216395.6638,0.0708744213484,-483.875806406,-0.208784368062,0,1,PATH
1.012,1.04,0,204592.310303,11.6994089512,53330.6550777,156.531913144,0,0,MISS
1.024,1.04,0,192789.0059,23.883989396,108203.836914,321.955908779,0,0,MISS
1.036,1.04,0,180985.741324,36.5292738242,164248.644041,496.59290202,0,0,MISS
1.048,1.04,0,169182.528224,49.6714748993,221574.037799,681.028204833,0,0,MISS
1.06,1.04,0,157379.296398,63.3490355639,280288.67187,875.910732109,0,0,MISS
0.94,1.08,0,275411.801269,53.7922093288,-259008.42475,-670.414614314,0,1,MISS
0.952,1.08,0,263608.560968,43.6173142664,-208371.941341,-550.117014058,0,1,MISS
0.964,1.08,0,251805.230819,33.2033200673,-157425.355793,-423.408104572,0,1,MISS
0.976,1.08,0,240002.045655,22.5075656657,-105982.249719,-289.845244543,0,1,MISS
0.988,1.08,0,228198.719475,11.4914123712,-53877.9466183,-148.993862366,0,1,MISS
1,1.08,0,216395.451718,0.141746151296,-968.241672647,-0.41664256477,0,1,PATH
1.012,1.08,0,204592.362204,11.6454673671,52879.0097906,156.345079785,0,0,MISS
1.024,1.08,0,192789.018995,23.8338740158,107776.22092,321.786205638,0,0,MISS
1.036,1.08,0,180985.764596,36.481679134,163834.812657,496.435407233,0,0,MISS
1.048,1.08,0,169182.527728,49.6254797762,221167.918215,680.875842189,0,0,MISS
1.06,1.08,0,157379.316619,63.3040529634,279886.970471,875.75778496,0,0,MISS
0.94,1.12,0,275411.84126,53.9169920631,-259901.697994,-670.963210506,0,1,MISS
0.952,1.12,0,263608.471436,43.7212347194,-209134.858058,-550.556354495,0,1,MISS
0.964,1.12,0,251805.226809,33.2914721977,-158089.881107,-423.76425087,0,1,MISS
0.976,1.12,0,240002.063004,22.5836490359,-106570.242751,-290.139961309,0,1,MISS
0.988,1.12,0,228198.856422,11.5583126738,-54406.353821,-149.242384848,0,1,MISS
1,1.12,0,216395.486517,0.212817214315,-1453.61973098,-0.62882380358,0,1,PATH
1.012,1.12,0,204592.304799,11.5912711518,52425.786653,156.156017892,0,0,MISS
1.024,1.12,0,192788.974117,23.7835391723,107346.723529,321.616579259,0,0,MISS
1.036,1.12,0,180985.780478,36.4338170996,163419.858396,496.273830546,0,0,MISS
1.048,1.12,0,169182.640849,49.5793699688,220761.977094,680.719997885,0,0,MISS
1.06,1.12,0,157379.205047,63.2593906453,279487.073437,875.607372812,0,0,MISS
0.94,1.16,0,275411.835673,54.042759699,-260799.996449,-671.517983176,0,1,MISS
0.952,1.16,0,263608.463628,43.8260265233,-209903.600292,-550.999056878,0,1,MISS
0.964,1.16,0,251805.277462,33.3800052106,-158756.022873,-424.124360858,0,1,MISS
0.976,1.16,0,240002.122548,22.6599584779,-107158.251112,-290.436560718,0,1,MISS
0.988,1.16,0,228198.820008,11.6257547758,-54937.3824269,-149.492915368,0,1,MISS
1,1.16,0,216395.6036,0.283945663334,-1938.20885085,-0.844738471598,0,1,PATH
1.012,1.16,0,204592.327406,11.5374371184,51972.9548826,155.969109851,0,0,MISS
1.024,1.16,0,192789.036857,23.7329623163,106915.520532,321.443732744,0,0,MISS
1.036,1.16,0,180985.759501,36.3860665933,163004.999092,496.114449607,0,0,MISS
1.048,1.16,0,169182.673575,49.533252222,220356.313351,680.562868227,0,0,MISS
1.06,1.16,0,157379.214497,63.2142965391,279084.159632,875.454437255,0,0,MISS
0.94,1.2,0,275411.763036,54.1693601562,-261703.309102,-672.078269986,0,1,MISS
0.952,1.2,0,263608.560144,43.931354068,-210674.773997,-551.446123769,0,1,MISS
0.964,1.2,0,251805.359128,33.4693345979,-159426.261589,-424.487858714,0,1,MISS
0.976,1.2,0,240002.091827,22.7368634118,-107749.697927,-290.73592248,0,0,MISS
0.988,1.2,0,228198.740805,11.6933528045,-55468.7000391,-149.743480916,0,1,MISS
1,1.2,0,216395.530104,0.355543453673,-2425.94387324,-1.06153983018,0,1,PATH
1.012,1.2,0,204592.242038,11.4833380006,51518.6931147,155.778670706,0,0,MISS
1.024,1.2,0,192789.024446,23.6826202083,106485.540041,321.272857752,0,0,MISS
1.036,1.2,0,180985.786819,36.3382243491,162590.137278,495.951755309,0,0,MISS
1.048,1.2,0,169182.564982,49.4872907907,219950.258006,680.410251245,0,0,MISS
1.06,1.2,0,157379.224594,63.1693966555,278682.841678,875.301323076,0,0,MISS
