run,thrust_multiplier,isp_multiplier,density_multiplier,altitude_error_m,velocity_error_m_s,fuel_margin_kg,strict_success,q_ok,g_ok,status
19,0.977730073222,1.00047213769,1.01820755467,-98656.7249301,-272.502433583,238754.213157,0,0,1,MISS
20,1.00810737135,0.995235170975,0.961572319597,48000.5319859,142.044963143,203673.726418,0,1,0,MISS
21,1.00487893163,0.995211838011,0.994386087473,33099.2578423,99.0325171902,206841.251584,0,0,0,MISS
22,1.00190473059,1.02062503758,0.903139821067,-36784.5166249,-117.12896471,234436.783738,0,1,1,MISS
23,0.9944180994,0.996893240788,1.03102708654,-17971.1091128,-48.3944545735,218837.676414,0,0,1,MISS
24,0.97488041538,1.01238999872,0.975438738935,-135740.015395,-374.93746839,252838.573329,0,0,1,MISS
25,1.01653140455,0.996203877091,0.944519614423,84226.311716,249.399690002,196325.181446,0,1,0,MISS
26,1.00689697021,0.986448489551,0.95686673346,63853.8977959,196.320824835,196006.037674,0,1,0,MISS
27,0.961904490587,0.996087365444,0.883868609832,-154818.026774,-422.111931601,250150.028148,0,1,1,MISS
28,1.01263746565,1.00503008978,0.915959544409,45669.6591634,126.717086582,208950.305126,0,1,0,MISS
29,0.971870066428,1.00081535115,0.93060360174,-123239.141257,-340.338284875,244843.077095,0,1,1,MISS
30,0.997600024429,0.989551611903,1.08062797728,12753.0783631,46.0451674815,208395.600396,0,0,0,MISS
31,0.993310132357,0.997564097877,1.09859211524,-25249.9989655,-67.3546976559,220590.047957,0,0,1,MISS
32,0.97997222994,1.01173692945,0.86887637497,-111097.37932,-314.253566906,247276.962983,0,1,1,MISS
33,1.00297196705,1.0132997844,1.04636799379,-17753.6334981,-56.4762357006,226420.653795,0,0,1,MISS
34,0.993527260195,1.00498050113,1.16028013692,-41916.7619087,-116.03542365,227605.082123,0,0,1,MISS
35,0.980206351953,0.994943870825,0.989688407808,-75371.9639684,-208.201370445,230965.139589,0,1,1,MISS
36,0.996402803072,1.00961096816,0.899683847955,-36318.0547306,-110.666135079,229263.424827,0,1,0,MISS
37,1.02853902088,0.990754394832,0.928417126344,154094.016586,470.777881537,178883.560648,0,0,0,MISS
38,1.03644387212,0.99632117849,0.85866833406,177789.316424,538.32550212,176785.068395,0,1,0,MISS
39,1.03596872048,0.995350521987,0.843026887674,178233.393029,540.345663585,176256.754301,0,1,0,MISS
40,1.00768559612,1.00021632571,0.791421739617,36207.1130169,98.7429834638,209050.291581,0,1,0,MISS
41,1.03288692885,1.00512781583,1.1519807684,135407.741253,404.424559727,189230.786565,0,0,0,MISS
42,0.989922002863,1.00531159766,1.10446288956,-57678.3575061,-161.254647371,231452.864749,0,0,1,MISS
43,0.985739572254,1.00365066568,1.04350661339,-71355.1778613,-199.625106428,233948.957338,0,0,1,MISS
44,0.973474588267,1.00072379479,1.02872757467,-117655.850069,-322.535590615,243178.605031,0,0,1,MISS
45,1.03711506696,1.00486145877,0.975540987058,157687.124664,469.172458437,184824.184249,0,0,0,MISS
46,0.998821222611,1.00458103468,1.19281430876,-18119.1731595,-48.439438895,222034.993577,0,0,1,MISS
47,0.983057380483,0.981926297667,1.08908960732,-34532.1411602,-84.5759534695,215262.467163,0,0,1,MISS
48,1.01210817126,1.0084609595,0.759673299036,37075.700893,94.7140402728,212838.136607,0,1,0,MISS
49,0.983897326716,0.990223118759,1.07465985669,-49722.7338684,-132.538074038,222679.064994,0,0,1,MISS
50,1.02065832751,1.00857004106,0.860191577559,74038.1051412,206.519682456,204606.467399,0,1,0,MISS
51,1.03961084812,0.992383661454,1.12936383219,200657.343866,624.408635599,169586.244086,0,0,0,MISS
52,1.01025507641,0.989769129967,1.06660302727,69898.5856936,214.945078294,196037.244334,0,0,0,MISS
53,0.996003972174,1.00543950364,0.773160044499,-27153.7564727,-86.7210332248,225626.222355,0,1,1,MISS
54,0.994322353067,1.03316409585,0.93265597362,-96412.7180472,-280.574230897,253374.103848,0,1,1,MISS
55,0.968091841056,1.00059753504,0.9418697824,-139046.401605,-381.012981921,248349.181601,0,1,1,MISS
56,1.02830558782,0.983622251547,1.01754842196,170858.920145,534.771813899,171713.157252,0,0,0,MISS
57,1.00886861843,0.988756482381,1.07006353208,65987.6054876,204.085071448,196388.214148,0,0,0,MISS
58,1.01435009383,0.997352300152,1.03067000845,70501.0482554,209.526437371,199631.959283,0,0,0,MISS
59,1.02002845785,0.998856090452,1.15693898675,91459.8907032,275.199724354,195546.494429,0,0,0,MISS
60,1.03313736356,0.993071704533,0.937685619586,169768.945645,518.47896936,176711.838264,0,0,0,MISS
61,0.995302021427,1.00225050835,1.0086751051,-26013.1063733,-74.8018509939,223214.831948,0,0,1,MISS
62,1.03385631641,1.0079818391,0.923182399895,135182.856146,394.570755531,191146.795736,0,1,0,MISS
63,0.991019963637,1.00600549874,0.991611580121,-52931.915433,-151.991615112,231047.374505,0,1,1,MISS
64,0.983379685673,0.995452884516,0.996136195605,-62770.6813705,-173.750843697,228325.055438,0,1,1,MISS
65,0.988791032145,1.00144279802,1.10131876821,-53935.0477909,-149.221694941,228821.999488,0,0,1,MISS
66,0.99793035605,1.00157650094,0.941973279906,-12075.1139771,-37.0573378541,219976.362831,0,1,1,MISS
67,0.996779534038,1.01224611278,0.974940568179,-41501.6603768,-124.032308145,231424.520743,0,1,1,MISS
68,1.01108599852,1.00595643542,0.98215229779,35779.8776855,99.0303792079,211380.167772,0,1,0,MISS
69,1.01501712143,0.992534714034,0.952838118954,86211.0919332,258.783614154,194115.44443,0,1,0,MISS
70,0.994775655102,1.00856208617,1.06711021412,-43256.8758266,-124.315832073,229840.852448,0,0,1,MISS
71,0.997641336849,0.982846075996,1.06303175914,29193.8415564,98.6951978073,201588.830591,0,0,0,MISS
72,0.988057745817,0.982401295087,0.968965294079,-11875.2068328,-23.6563809363,210732.248452,0,1,1,MISS
73,0.97896219834,0.993946014624,0.974184493543,-78353.8668795,-216.329257559,231223.462969,0,1,1,MISS
74,0.986000162734,0.982924925386,0.886994478312,-21298.4058583,-53.4675615988,213318.231488,0,1,1,MISS
75,1.02453758052,0.998533412675,1.04765036776,114265.828608,342.105104802,190780.198676,0,0,0,MISS
76,0.994028780272,1.00496068006,1.12855111693,-39258.978925,-109.617893532,227095.279118,0,0,1,MISS
77,0.973212411108,0.996505541548,1.16408569023,-111612.752663,-300.750853115,239387.058186,0,0,1,MISS
78,0.984141349402,1.00927274492,0.89039549962,-88364.6486997,-252.50944015,240887.746081,0,1,1,MISS
79,0.990510375409,1.00706040503,0.993031465131,-57499.5701662,-164.965370039,232560.096458,0,0,1,MISS
80,1.00902226405,0.988977551595,1.06858283522,66165.7966205,204.394452726,196459.765518,0,0,0,MISS
81,1.00723800994,1.00645232673,0.944511873556,17907.8825124,45.7955195116,215627.650004,0,1,1,MISS
82,0.986931641778,0.995074589157,1.01814405474,-46661.9097345,-128.334721378,224444.629993,0,0,1,MISS
83,1.01077351936,0.987782479616,1.0465845573,77408.9993605,238.810682676,193501.780572,0,0,0,MISS
84,1.02501468967,1.01145389659,0.972797111641,85623.5859803,242.172677898,203208.100013,0,0,0,MISS
85,1.00124985461,1.00211773365,1.05384634658,10.0061729085,0.309152808542,217247.369678,0,0,1,PATH
86,0.980751020589,0.976482112934,0.881511794065,-29590.2242071,-73.1656836323,212095.449104,0,1,0,MISS
87,1.0056362364,0.99278062336,1.05980473515,41584.2765539,127.719518308,203658.94115,0,0,0,MISS
88,0.988525481918,0.981738567262,1.0965003646,-9733.53703,-13.2970847729,209595.810141,0,0,1,MISS
89,0.978621919888,1.01200564075,0.977502606231,-119066.778091,-331.673286364,248842.342408,0,0,1,MISS
90,0.988791039196,0.997068443794,1.13383104154,-44499.2808311,-119.907263423,224561.191727,0,0,1,MISS
91,0.986393344496,1.00040107492,1.10172518174,-62084.3251559,-171.076716366,230168.179211,0,0,1,MISS
92,0.998925905676,0.993353112545,0.981507362347,10900.3762749,35.171782046,210877.459635,0,1,0,MISS
93,1.01387857769,1.02150765472,1.01316766456,12042.2161856,22.070833404,223741.5419,0,0,1,MISS
94,1.01042997103,1.01234026394,1.08247559956,16861.4646315,43.157980617,218251.574226,0,0,1,MISS
95,1.01163686048,1.00763133469,0.988068408585,34258.6093042,93.6521182713,212485.531711,0,1,0,MISS
96,1.00770861747,1.02093268954,1.02486269034,-13842.7232941,-50.1056656132,229136.106951,0,0,1,MISS
97,0.99467890912,0.99026565692,1.02477720149,-1371.11582726,3.01943245727,212012.010869,0,0,1,PATH
98,0.970621006321,1.0033027862,1.20095475723,-138148.59531,-371.082831014,248435.650036,0,0,1,MISS
99,1.01375689561,0.990309928662,0.992839177905,85479.8555604,259.635640184,193107.272108,0,0,0,MISS
100,1.02343232273,1.00323613479,1.03600310089,97645.4104039,286.843367589,196594.621976,0,0,0,MISS
101,1.00280148947,1.00100596795,1.1676068136,8122.79972702,27.5808393971,214631.242246,0,0,1,MISS
102,0.991455066988,1.00996788947,0.864707174539,-58079.4352594,-171.781705155,234425.079582,0,1,1,MISS
103,0.989370231542,0.983239551009,1.07758215268,-9259.63789895,-13.4992726896,210262.505746,0,0,0,MISS
104,0.982604802709,0.989390137836,0.740171278555,-49252.7882949,-140.761252611,223141.163925,0,1,1,MISS
105,0.998381955906,1.00727249239,1.04488031872,-24295.2994309,-71.6337571179,225077.166459,0,0,1,MISS
106,0.959220795915,1.01448169467,0.935880723284,-205221.294048,-549.912167359,269974.534177,0,0,1,MISS
107,1.01672467126,0.998362289145,1.13627014221,77731.0950516,233.48546281,198304.631951,0,0,0,MISS
108,1.01237025667,0.993566775765,1.05706645198,70387.5402802,213.001904082,197780.765239,0,0,0,MISS
109,1.00403635965,1.0054631053,0.959188970751,5809.81628999,12.0828059477,217791.361601,0,1,0,PATH
110,0.986216475225,0.975829792457,0.854016024314,-3262.80132544,2.52502049208,205926.125567,1,1,1,PASS
