n,success_rate,std_error,wilson_low_95,wilson_high_95
170,0.06470588235294118,0.01886781123592561,0.03651116244554317,0.11213910308353617
171,0.06432748538011696,0.01876126718073247,0.036295382664577644,0.11150468322363201
172,0.06395348837209303,0.018655917400468472,0.03608213881071923,0.11087739749923245
173,0.06358381502890173,0.018551741967547813,0.03587138643311278,0.11025712631501888
174,0.06321839080459771,0.01844872139429555,0.03566308211391016,0.10964375273238004
175,0.06285714285714286,0.01834683662090468,0.03545718343843058,0.10903716239609562
176,0.0625,0.018246069003785694,0.035253648966349777,0.10843724346343286
177,0.062146892655367235,0.018146400304293674,0.035052438203876365,0.1078438865355641
178,0.06741573033707865,0.018793802713941227,0.038981512590958445,0.11412756695959542
179,0.07262569832402235,0.019397518453705517,0.04293060088228604,0.12027952197815711
180,0.07222222222222222,0.019293950237704933,0.04268933217596355,0.11963301488803066
181,0.0718232044198895,0.01919147942364586,0.04245076070487264,0.1189934163634929
182,0.07142857142857142,0.019090088708030313,0.04221484148110109,0.11836061632812998
183,0.07103825136612021,0.018989761148163104,0.041981530511898055,0.11773450703006262
184,0.07065217391304347,0.018890480152827575,0.04175078477230255,0.11711498298095338
185,0.07027027027027027,0.01879222947324792,0.041522562178670855,0.11650194089692266
186,0.06989247311827956,0.018694993194327953,0.04129682156306809,0.1158952796413044
187,0.06951871657754011,0.018598755726156505,0.041073522648491526,0.11529490016917505
188,0.06914893617021277,0.01850350179577009,0.040852626024894284,0.11470070547359196
189,0.06878306878306878,0.01840921643916386,0.04063409312597916,0.11411260053348021
190,0.06842105263157895,0.018315884993542118,0.04041788620673421,0.1135304922631092
191,0.06806282722513089,0.018223493089800157,0.0402039683216823,0.11295428946310287
192,0.06770833333333333,0.018132026645229435,0.03999230330381833,0.11238390277292937
193,0.06735751295336788,0.018041471856438344,0.03978285574420911,0.11181924462481854
194,0.06701030927835051,0.01795181519248128,0.039575590972231345,0.1112602291990572
195,0.07179487179487179,0.01848635923701994,0.0432448538296094,0.11689065101444737
196,0.07142857142857142,0.018395669772775458,0.04302172691265146,0.11631246576795157
197,0.07106598984771574,0.018305863659999158,0.04280089112385386,0.11573996893701005
198,0.0707070707070707,0.01821692808860301,0.04258231134761892,0.11517307703614338
199,0.07035175879396985,0.018128850494282447,0.04236595318245633,0.11461170820455696
200,0.07,0.01804161855266872,0.04215178292291873,0.11405578216683726
201,0.06965174129353234,0.01795522017364686,0.04193976754208294,0.113505220194783
202,0.07425742574257425,0.018447578990673282,0.04551404360907179,0.11889198510426896
203,0.07389162561576355,0.018360330615043708,0.045287254245104686,0.11832393421988496
204,0.07352941176470588,0.01827390153484222,0.04506271425466509,0.11776128248131074
205,0.07317073170731707,0.018188280296393074,0.04484039033079913,0.117203953324871
206,0.07281553398058252,0.018103455657853013,0.044620249821040694,0.1166518716267561
207,0.07246376811594203,0.018019416584353888,0.04440226071141076,0.1161049636693566
208,0.07211538461538461,0.017936152243277746,0.04418639161088355,0.11556315710853698
209,0.07177033492822966,0.017853651999660273,0.04397261173630447,0.11502638094181862
210,0.07142857142857142,0.017771905411718546,0.043760890897743834,0.11449456547744229
211,0.07109004739336493,0.017690902226499213,0.043551199484272496,0.11396764230428241
212,0.07075471698113207,0.017610632375643313,0.04334350845014459,0.11344554426258549
213,0.07042253521126761,0.017531085971264196,0.04313778930137429,0.1129282054155066
214,0.07009345794392523,0.017452253301934943,0.04293401408269345,0.11241556102141886
215,0.06976744186046512,0.017374124828782055,0.04273215536487746,0.11190754750697138
216,0.06944444444444445,0.01729669118168202,0.042532186232427285,0.11140410244087205
217,0.06912442396313365,0.017219943155557707,0.04233408027159613,0.11090516450837287
218,0.06880733944954129,0.017143871706771566,0.04213781155874956,0.11041067348643584
219,0.0684931506849315,0.01706846794961262,0.04194335464904808,0.10992057021955814
220,0.06818181818181818,0.01699372315287453,0.04175068456544202,0.10943479659623657
221,0.07239819004524888,0.0174320519431192,0.04505151126096084,0.11435671212830524
222,0.07207207207207207,0.01735657941807635,0.044846333071754715,0.11385604948309787
223,0.07174887892376682,0.017281756016612162,0.04464301566013649,0.11335974926481554
