run,final_altitude_km,final_velocity_m_s,fuel_margin_kg,orbit_ok,fuel_ok,strict_success,status
152,511.74847240337357,7924.033521460666,198987.7576762748,0,1,0,MISS
153,291.76739745663946,7302.632898805143,247074.19639141002,0,1,0,MISS
154,459.7894871318052,7774.144758887339,207249.38457072194,0,1,0,MISS
155,424.00625789454205,7659.399187066929,219674.24058079516,1,1,1,PASS
156,602.3665834534876,8220.124661323633,172992.63353211893,0,1,0,MISS
157,316.58038668901287,7367.186653732801,241202.23437046137,0,1,0,MISS
158,353.60913395261576,7471.736527377417,233956.24150489696,0,1,0,MISS
159,429.1012273692293,7688.349349180307,208962.58993131918,0,1,0,MISS
160,430.41699796761947,7679.409918739484,220945.12994744105,0,1,0,MISS
161,541.6354075743742,7999.333989088212,200386.82665236836,0,1,0,MISS
162,318.4293370259125,7384.541731475514,236014.29028926324,0,1,0,MISS
163,418.3314377217125,7647.250983051428,220191.32794754347,1,1,1,PASS
164,274.00484781822286,7263.822744043959,247520.01590281405,0,1,0,MISS
165,517.1830347066215,7961.2491058571795,187998.38661448396,0,1,0,MISS
166,426.61510044561976,7676.316583444413,217935.97280065907,1,1,1,PASS
167,573.1198538182526,8120.0378707463315,183487.28655069717,0,1,0,MISS
168,557.3349617970512,8068.375149749818,185761.7667057265,0,1,0,MISS
169,477.36014471040573,7827.44012198061,201010.63537975732,0,1,0,MISS
170,461.16756352941974,7774.766866046803,207652.1111517959,0,1,0,MISS
171,457.8353956814166,7780.193824844687,198747.86237494898,0,1,0,MISS
172,391.0895742159868,7570.103825883383,223924.6605329276,0,1,0,MISS
173,430.3007903940584,7687.593180054028,214713.21245312307,0,1,0,MISS
174,236.8374854023261,7164.462887894346,263614.6376739764,0,1,0,MISS
175,469.6701515371064,7812.840268000944,198052.4372488162,0,1,0,MISS
176,464.1640265487982,7793.484676827606,202260.70574577636,0,1,0,MISS
177,449.2610799470246,7749.677340835319,203768.17411415093,0,1,0,MISS
178,419.0492650995422,7659.5325843918135,214882.10937400977,1,1,1,PASS
179,416.94283406729994,7653.413888969699,211557.21289030893,1,1,1,PASS
180,564.3714775420054,8086.302440819302,188493.91144979658,0,1,0,MISS
181,392.1495370544977,7577.789791291635,223505.58121926407,0,1,0,MISS
182,540.1800302041369,8011.090557139645,190077.43942728074,0,1,0,MISS
183,238.54842949931324,7176.440606597638,265502.65330893657,0,1,0,MISS
184,411.4429469444351,7636.549287124884,216982.34985845094,0,1,0,MISS
185,405.5772857920099,7615.489275248892,220272.268608925,0,1,0,MISS
186,551.7480851229132,8047.889997273738,188206.67274242762,0,1,0,MISS
187,365.39997858375125,7504.224081214818,230470.04136930616,0,1,0,MISS
188,617.4330369678652,8264.165985311312,171524.8996648878,0,1,0,MISS
189,578.654005381017,8156.653103346527,171462.26022330322,0,1,0,MISS
190,315.29872512712143,7369.412267440579,236937.25619919895,0,1,0,MISS
191,472.7652547775488,7823.14467660491,197318.42314690538,0,1,0,MISS
192,433.29388890063575,7699.6083525526665,213700.18438425113,0,1,0,MISS
193,511.08897002465653,7933.859361334211,193511.23732814984,0,1,0,MISS
194,460.79392631312555,7772.395170569368,207822.77473012754,0,1,0,MISS
195,416.0849181199763,7644.50002531771,220319.79112629534,1,1,1,PASS
196,517.5938060149132,7944.304902308682,196772.71563949186,0,1,0,MISS
197,348.3836902839858,7460.745404409895,229419.16626933467,0,1,0,MISS
198,509.1425797588266,7909.00358919791,201347.76146115002,0,1,0,MISS
199,514.0825420054048,7951.8170442166465,189769.99379555584,0,1,0,MISS
200,379.2367197870212,7556.3543153550845,213505.99965300772,0,1,0,MISS
201,271.8790290876394,7256.157388803075,247743.81940494978,0,1,0,MISS
202,419.4311775229229,7660.883527120676,211988.52637921157,1,1,1,PASS
203,500.11224178767577,7903.564689536443,194232.97330931766,0,1,0,MISS
204,456.6105832416974,7753.943314521394,212341.30244357267,0,1,0,MISS
205,494.90946536983733,7862.770297836206,208357.15374430467,0,1,0,MISS
206,299.9419619446192,7328.62899085621,242860.22247261525,0,1,0,MISS
207,669.2745423664833,8455.10811277653,154379.03392748252,0,1,0,MISS
208,434.041007827227,7699.071528598003,211009.01479668188,0,1,0,MISS
209,425.0548700186815,7683.039146803256,206708.22696554498,0,1,0,MISS
210,397.49447887613627,7590.931850215855,221549.10834196175,0,1,0,MISS
211,483.53136865305623,7859.9754295495395,194047.91811377305,0,1,0,MISS
212,546.2903336255355,8034.880309012343,187261.00669783883,0,1,0,MISS
213,544.5804025818463,8027.051485842439,190447.4258199946,0,1,0,MISS
214,385.424217287858,7554.565089600546,228594.906947468,0,1,0,MISS
215,407.06822001339214,7614.899126226721,220458.451526515,0,1,0,MISS
216,335.43366350270713,7422.955898608913,229639.1532815128,0,1,0,MISS
217,451.0735264546266,7734.423071109811,218519.30745315098,0,1,0,MISS
218,546.7945793324718,8048.990927362047,182519.68510127766,0,1,0,MISS
219,662.8850821669781,8416.17141944617,161150.2122189343,0,1,0,MISS
220,324.413731665737,7397.70117609536,236371.8941562919,0,1,0,MISS
221,429.21561455764527,7668.879629995236,226337.73333654506,1,1,1,PASS
222,487.286996559809,7848.407878889088,204440.50138983293,0,1,0,MISS
223,380.4495999566419,7544.179764823901,229319.48659818742,0,1,0,MISS
224,351.0187209210889,7460.781578903552,234995.29101652198,0,1,0,MISS
225,405.7414342667432,7611.635758958014,223230.62324814463,0,1,0,MISS
226,553.2453139246367,8051.671813901819,188939.17886401352,0,1,0,MISS
227,518.1202975105821,7956.690945537975,190956.3378693603,0,1,0,MISS
228,506.95281611521074,7914.600250128754,196315.33023417968,0,1,0,MISS
229,542.1257406564644,8028.005902692156,186196.16175945604,0,1,0,MISS
230,563.8672014007661,8087.368771175846,185706.93031575176,0,1,0,MISS
231,396.75936702758634,7595.818554794928,219576.86969442142,0,1,0,MISS
232,392.7563922676826,7577.394827983762,222269.39972608717,0,1,0,MISS
233,344.81536289056766,7450.402153412393,228738.55076928495,0,1,0,MISS
234,403.123104931741,7610.007658241222,218633.54893095285,0,1,0,MISS
235,256.40656923302447,7213.066961865592,258526.70274179068,0,1,0,MISS
236,389.1890618514484,7578.954670668053,216063.53388065653,0,1,0,MISS
237,421.7119645481743,7659.787132584781,220986.63183011528,1,1,1,PASS
238,439.2065005323365,7700.71628637794,220001.85599574848,0,1,0,MISS
239,462.94892183537036,7785.317282750078,204203.81963977136,0,1,0,MISS
240,381.5665458840234,7548.863824052309,224932.3866964336,0,1,0,MISS
241,604.984027503741,8228.658839613778,172986.16333868273,0,1,0,MISS
242,487.5541490754243,7843.210195685625,209631.75516356842,0,1,0,MISS
243,387.94330741822256,7577.523293116421,216584.0349533077,0,1,0,MISS
244,378.6137173585147,7537.1686502125585,231599.0860147513,0,1,0,MISS
245,431.12637865390536,7697.939001828297,208635.57650130073,0,1,0,MISS
246,327.9340026998483,7402.355000357341,236269.00447776337,0,1,0,MISS
247,532.9517900748923,7993.80182554747,192057.92190020107,0,1,0,MISS
248,388.39126071407645,7575.649872467161,219390.48623196513,0,1,0,MISS
249,445.44950460910144,7720.197286348515,216103.5163060623,0,1,0,MISS
250,526.0013031726628,7966.774099035273,194813.4402214503,0,1,0,MISS
251,582.1008058724999,8146.60034446249,180741.52384301566,0,1,0,MISS
252,427.21070287060553,7681.631660676284,213105.30677119084,0,1,0,MISS
253,335.6225036820369,7417.422452491362,235775.15098223696,0,1,0,MISS
254,294.07673063734734,7318.421867779502,238814.67007015517,0,1,0,MISS
255,418.2301592455003,7657.934826142097,212936.18696475995,1,1,1,PASS
256,416.8190288673444,7644.152338490988,220181.02634255518,1,1,1,PASS
257,482.98192410387287,7852.040361142416,198534.35243535327,0,1,0,MISS
258,269.1212513518762,7250.447208053664,253056.06122694834,0,1,0,MISS
259,473.94978091816233,7817.265790036622,202778.0832050774,0,1,0,MISS
260,273.24339848465377,7256.500775289546,246309.2059666323,0,1,0,MISS
261,394.84815514062063,7582.5431112572205,222368.20074591786,0,1,0,MISS
262,548.4852525890451,8040.966723456515,190375.6040790917,0,1,0,MISS
263,353.5555376862157,7478.101291473915,223788.69362188032,0,1,0,MISS
264,329.8754548095288,7416.14189092666,230061.919208344,0,1,0,MISS
265,441.6174848438669,7725.052729132609,207353.66411503527,0,1,0,MISS
266,347.643455403069,7465.217711038265,224458.84656152973,0,1,0,MISS
267,523.1973927674237,7958.340466082853,195941.83036756126,0,1,0,MISS
268,465.0194259577515,7781.192546660978,213974.143294774,0,1,0,MISS
269,431.8749799288018,7698.787354884477,210719.13664030016,0,1,0,MISS
270,509.4637285426706,7924.238233893109,194420.3516982979,0,1,0,MISS
271,323.9727222999511,7399.051198260671,237191.54975510656,0,1,0,MISS
272,459.36519504414684,7762.5546772833195,213867.93523103604,0,1,0,MISS
273,403.19657644290754,7604.4165216006495,223932.89071595343,0,1,0,MISS
274,476.78839994398135,7832.578480909164,198638.31693736813,0,1,0,MISS
275,316.59047626822723,7376.742217727827,235011.8323554934,0,1,0,MISS
276,472.95666367963327,7826.77145775309,195405.4763195049,0,1,0,MISS
277,526.307950232936,7984.399455180876,185306.97410115966,0,1,0,MISS
278,474.57171860706245,7824.406169878348,201131.23604990268,0,1,0,MISS
279,265.0903724693144,7238.531200360031,250541.2540396849,0,1,0,MISS
280,342.38220491739924,7446.4174599531725,231858.79966739146,0,1,0,MISS
281,460.6430944487415,7775.019060836602,211292.942021908,0,1,0,MISS
282,383.0176670292374,7547.584507811399,224273.99467774824,0,1,0,MISS
283,524.8681625017254,7985.117484833498,185743.10736442514,0,1,0,MISS
284,346.816514624577,7450.93787382776,237880.74392108707,0,1,0,MISS
285,388.45065047797004,7571.682695429193,221653.78218363906,0,1,0,MISS
286,489.9016443842314,7871.316312256652,196777.16140303377,0,1,0,MISS
287,471.4080678445473,7817.304767617226,199016.95057194377,0,1,0,MISS
288,416.0079052194627,7645.209025558847,218235.4767421207,1,1,1,PASS
289,259.30303661282363,7220.875159457976,267606.02994236676,0,1,0,MISS
290,546.4613414105354,8033.515998144139,187807.78275725403,0,1,0,MISS
