thrust_multiplier,density_multiplier,strict_success,fuel_margin_kg,normalized_orbit_error,altitude_error_m,velocity_error_m_s,q_ok,g_ok,status
0.952,1.16,0,263608.463628,151.084468843,-209903.600292,-550.999056878,0,1,MISS
0.964,1.16,0,251805.277462,114.538688351,-158756.022873,-424.124360858,0,1,MISS
0.976,1.16,0,240002.122548,77.4395401605,-107158.251112,-290.436560718,0,1,MISS
0.988,1.16,0,228198.820008,39.6468538276,-54937.3824269,-149.492915368,0,1,MISS
1,1.16,0,216395.6036,1.09053571034,-1938.20885085,-0.844738471598,0,1,MISS
1.012,1.16,0,204592.327406,38.5152925406,51972.9548826,155.969109851,0,0,MISS
1.024,1.16,0,192789.036857,79.0962919403,106915.520532,321.443732744,0,0,MISS
1.036,1.16,0,180985.759501,120.818094499,163004.999092,496.114449607,0,0,MISS
1.048,1.16,0,169182.673575,163.784676596,220356.313351,680.562868227,0,0,MISS
1.06,1.16,0,157379.214497,208.104858654,279084.159632,875.454437255,0,0,MISS
0.94,1.2,0,275411.763036,187.780974866,-261703.309102,-672.078269986,0,1,MISS
0.952,1.2,0,263608.560144,151.537492954,-210674.773997,-551.446123769,0,1,MISS
0.964,1.2,0,251805.359128,114.923551055,-159426.261589,-424.487858714,0,1,MISS
0.976,1.2,0,240002.091827,77.7710549385,-107749.697927,-290.73592248,0,0,MISS
0.988,1.2,0,228198.740805,39.9377772584,-55468.7000391,-149.743480916,0,1,MISS
1,1.2,0,216395.530104,1.36573255299,-2425.94387324,-1.06153983018,0,1,MISS
1.012,1.2,0,204592.242038,38.2790036865,51518.6931147,155.778670706,0,0,MISS
1.024,1.2,0,192789.024446,78.8770144026,106485.540041,321.272857752,0,0,MISS
1.036,1.2,0,180985.786819,120.610403692,162590.137278,495.951755309,0,0,MISS
1.048,1.2,0,169182.564982,163.585122936,219950.258006,680.410251245,0,0,MISS
1.06,1.2,0,157379.224594,207.910670986,278682.841678,875.301323076,0,0,MISS
