time_s,specific_energy_J_per_kg,angular_momentum_m2_s,rel_energy_drift,rel_h_drift
2352.0625967725928,-29316889.31383726,52055165817.68034,8.14396491040538e-11,4.071992239006738e-11
2379.5942812390067,-29316889.313823234,52055165817.6928,8.191806677730767e-11,4.0959260812572357e-11
2401.79118521244,-29316889.313819326,52055165817.69626,8.205136296302965e-11,4.102565414104434e-11
2423.984415088768,-29316889.313815445,52055165817.699715,8.218376966038172e-11,4.109204746951633e-11
2446.315363464167,-29316889.313811403,52055165817.7033,8.232164035772048e-11,4.116093237985151e-11
2470.9871007923075,-29316889.31380408,52055165817.70979,8.257145951990297e-11,4.1285658036649873e-11
2496.2198151286357,-29316889.313795727,52055165817.71721,8.285634993781403e-11,4.142811789376857e-11
2520.8915482244647,-29316889.313788414,52055165817.7237,8.310578789069512e-11,4.155284355056694e-11
2544.2990456350485,-29316889.31378306,52055165817.728455,8.328838714606452e-11,4.1644152697670796e-11
2562.710647746003,-29316889.313781787,52055165817.7296,8.333184500642384e-11,4.166613724352245e-11
2581.121828367577,-29316889.313780505,52055165817.73072,8.337555700631741e-11,4.1687682098457066e-11
2599.169328045427,-29316889.313779373,52055165817.73173,8.34141862155257e-11,4.170702849880652e-11
2619.081087575397,-29316889.31377733,52055165817.73354,8.348382044791431e-11,4.1741910644891144e-11
2639.6947670028526,-29316889.313774835,52055165817.73576,8.356895719189308e-11,4.1784560663843344e-11
2662.697264592224,-29316889.313770007,52055165817.74004,8.37336396100968e-11,4.186678286532852e-11
2687.3052810112576,-29316889.313762806,52055165817.74643,8.397926546996392e-11,4.198945663118073e-11
2713.199246410332,-29316889.31375306,52055165817.75509,8.431167998078253e-11,4.2155806361458226e-11
2740.1946957780633,-29316889.31374057,52055165817.766174,8.47377449099778e-11,4.2368763328941226e-11
2768.165850997139,-29316889.31372516,52055165817.77987,8.526343253660494e-11,4.263184506096598e-11
2797.018766075632,-29316889.313706636,52055165817.79631,8.589522341878772e-11,4.2947689703034704e-11
2826.6787318364136,-29316889.313684803,52055165817.81568,8.66399793239513e-11,4.331981478248365e-11
2857.0830712876855,-29316889.313659545,52055165817.83813,8.750151234510964e-11,4.375100500845404e-11
2888.1763522974893,-29316889.313630685,52055165817.86373,8.84859218310851e-11,4.424287258097498e-11
2919.9068008346417,-29316889.313598156,52055165817.89262,8.959549503768607e-11,4.4797762518270656e-11
2952.223355191321,-29316889.313561913,52055165817.9248,9.083175680211816e-11,4.5415967947619094e-11
2985.0731179665704,-29316889.313521992,52055165817.96024,9.219343642671e-11,4.609690261446423e-11
3018.399155302047,-29316889.313478515,52055165817.99883,9.367646767891339e-11,4.6838221500581916e-11
3052.138739789459,-29316889.31343176,52055165818.04033,9.527132032619337e-11,4.7635381133162785e-11
3086.222245078537,-29316889.31338213,52055165818.0844,9.696414376393252e-11,4.848193271209037e-11
3120.5729467678416,-29316889.31333017,52055165818.13055,9.87365128758966e-11,4.936849616446796e-11
3155.107927617715,-29316889.31327652,52055165818.17816,1.005664445923717e-10,5.028319983553566e-11
3189.740100090573,-29316889.313221976,52055165818.22658,1.0242700012272575e-10,5.121329268869952e-11
3224.381085773426,-29316889.31316737,52055165818.27507,1.042895887693539e-10,5.214485117825348e-11
3258.9444363724383,-29316889.313113466,52055165818.32292,1.0612828829976116e-10,5.3064098322130525e-11
3293.3485742804846,-29316889.313061006,52055165818.36951,1.07917684760521e-10,5.395901590193174e-11
3327.5189301997602,-29316889.31301062,52055165818.41423,1.0963630336098804e-10,5.481817195381427e-11
3361.389006857796,-29316889.312962797,52055165818.456696,1.1126762503143505e-10,5.563394516854954e-11
3394.900375536177,-29316889.31291789,52055165818.49656,1.1279945107421732e-10,5.639974018238206e-11
3428.0018067599713,-29316889.31287612,52055165818.533646,1.1422415730330689e-10,5.711218603161457e-11
3460.6478061499474,-29316889.312837634,52055165818.56781,1.1553691506755273e-10,5.776849800710586e-11
