n,p_orbit_fail,p_fuel_fail,p_q_violate,p_g_violate,p_any_failure
44,0.9772727272727273,0.0,0.5909090909090909,0.45454545454545453,0.9772727272727273
45,0.9777777777777777,0.0,0.6,0.4444444444444444,0.9777777777777777
46,0.9782608695652174,0.0,0.5869565217391305,0.43478260869565216,0.9782608695652174
47,0.9787234042553191,0.0,0.5957446808510638,0.44680851063829785,0.9787234042553191
48,0.9791666666666666,0.0,0.5833333333333334,0.4583333333333333,0.9791666666666666
49,0.9795918367346939,0.0,0.5918367346938775,0.4489795918367347,0.9795918367346939
50,0.98,0.0,0.58,0.46,0.98
51,0.9803921568627451,0.0,0.5686274509803921,0.47058823529411764,0.9803921568627451
52,0.9807692307692307,0.0,0.5769230769230769,0.46153846153846156,0.9807692307692307
53,0.9811320754716981,0.0,0.5849056603773585,0.4528301886792453,0.9811320754716981
54,0.9814814814814815,0.0,0.5925925925925926,0.46296296296296297,0.9814814814814815
55,0.9818181818181818,0.0,0.6,0.4727272727272727,0.9818181818181818
56,0.9821428571428571,0.0,0.6071428571428571,0.4642857142857143,0.9821428571428571
57,0.9824561403508771,0.0,0.5964912280701754,0.45614035087719296,0.9824561403508771
58,0.9827586206896551,0.0,0.5862068965517241,0.46551724137931033,0.9827586206896551
59,0.9830508474576272,0.0,0.5932203389830508,0.4576271186440678,0.9830508474576272
60,0.9833333333333333,0.0,0.5833333333333334,0.4666666666666667,0.9833333333333333
61,0.9836065573770492,0.0,0.5901639344262295,0.47540983606557374,0.9836065573770492
62,0.9838709677419355,0.0,0.5967741935483871,0.4838709677419355,0.9838709677419355
63,0.9682539682539683,0.0,0.5873015873015873,0.47619047619047616,0.9682539682539683
64,0.96875,0.0,0.578125,0.46875,0.96875
65,0.9692307692307692,0.0,0.5692307692307692,0.47692307692307695,0.9692307692307692
66,0.9696969696969697,0.0,0.5757575757575758,0.48484848484848486,0.9696969696969697
67,0.9701492537313433,0.0,0.582089552238806,0.4925373134328358,0.9701492537313433
68,0.9705882352941176,0.0,0.5735294117647058,0.5,0.9705882352941176
69,0.9710144927536232,0.0,0.5797101449275363,0.5072463768115942,0.9710144927536232
70,0.9714285714285714,0.0,0.5714285714285714,0.5,0.9714285714285714
71,0.971830985915493,0.0,0.5633802816901409,0.49295774647887325,0.971830985915493
72,0.9722222222222222,0.0,0.5555555555555556,0.4861111111111111,0.9722222222222222
73,0.9726027397260274,0.0,0.5616438356164384,0.4794520547945205,0.9726027397260274
74,0.972972972972973,0.0,0.5675675675675675,0.4864864864864865,0.972972972972973
75,0.9733333333333334,0.0,0.5733333333333334,0.48,0.9733333333333334
76,0.9736842105263158,0.0,0.5789473684210527,0.4868421052631579,0.9736842105263158
77,0.974025974025974,0.0,0.5714285714285714,0.4805194805194805,0.974025974025974
78,0.9615384615384616,0.0,0.5641025641025641,0.48717948717948717,0.9743589743589743
79,0.9620253164556962,0.0,0.569620253164557,0.4936708860759494,0.9746835443037974
80,0.9625,0.0,0.575,0.4875,0.975
81,0.9629629629629629,0.0,0.5679012345679012,0.49382716049382713,0.9753086419753086
82,0.9634146341463414,0.0,0.5609756097560976,0.4878048780487805,0.975609756097561
83,0.963855421686747,0.0,0.5662650602409639,0.4939759036144578,0.9759036144578314
84,0.9642857142857143,0.0,0.5714285714285714,0.5,0.9761904761904762
85,0.9647058823529412,0.0,0.5647058823529412,0.5058823529411764,0.9764705882352941
86,0.9651162790697675,0.0,0.5697674418604651,0.5,0.9767441860465116
87,0.9655172413793104,0.0,0.5747126436781609,0.4942528735632184,0.9770114942528736
88,0.9659090909090909,0.0,0.5681818181818182,0.5,0.9772727272727273
89,0.9662921348314607,0.0,0.5617977528089888,0.4943820224719101,0.9775280898876404
90,0.9666666666666667,0.0,0.5555555555555556,0.5,0.9777777777777777
91,0.967032967032967,0.0,0.5604395604395604,0.5054945054945055,0.978021978021978
92,0.967391304347826,0.0,0.5652173913043478,0.5108695652173914,0.9782608695652174
93,0.967741935483871,0.0,0.5698924731182796,0.5161290322580645,0.978494623655914
94,0.9680851063829787,0.0,0.5638297872340425,0.5106382978723404,0.9787234042553191
95,0.9578947368421052,0.0,0.5578947368421052,0.5157894736842106,0.9789473684210527
96,0.9583333333333334,0.0,0.5520833333333334,0.5104166666666666,0.9791666666666666
97,0.9587628865979382,0.0,0.5567010309278351,0.5154639175257731,0.979381443298969
98,0.9591836734693877,0.0,0.5510204081632653,0.5204081632653061,0.9795918367346939
99,0.9595959595959596,0.0,0.5454545454545454,0.5252525252525253,0.9797979797979798
100,0.96,0.0,0.54,0.52,0.98
101,0.9504950495049505,0.0,0.5346534653465347,0.5148514851485149,0.9702970297029703
102,0.9509803921568627,0.0,0.5392156862745098,0.5098039215686274,0.9705882352941176
103,0.941747572815534,0.0,0.5339805825242718,0.5145631067961165,0.970873786407767
104,0.9423076923076923,0.0,0.5384615384615384,0.5096153846153846,0.9711538461538461
105,0.9428571428571428,0.0,0.5333333333333333,0.5047619047619047,0.9714285714285714
106,0.9433962264150944,0.0,0.5377358490566038,0.5,0.9716981132075472
107,0.9439252336448598,0.0,0.5327102803738317,0.4953271028037383,0.9719626168224299
108,0.9351851851851852,0.0,0.5277777777777778,0.5,0.9722222222222222
109,0.9357798165137615,0.0,0.5321100917431193,0.5045871559633027,0.9724770642201835
110,0.9363636363636364,0.0,0.5363636363636364,0.509090909090909,0.9727272727272728
111,0.9369369369369369,0.0,0.5405405405405406,0.5045045045045045,0.972972972972973
112,0.9375,0.0,0.5446428571428571,0.5089285714285714,0.9732142857142857
113,0.9380530973451328,0.0,0.5398230088495575,0.504424778761062,0.9734513274336283
