run,thrust_multiplier,isp_multiplier,density_multiplier,terminal_valid,orbit_ok,fuel_ok,fuel_margin_kg,trajectory_valid,max_q_pa,max_g,orbit_fail,fuel_fail,q_violation,g_violation,any_failure
265,1.0217508263000077,1.0053118268081953,0.9173054580533023,1,0,1,200311.4517847905,1,33881.16923933625,4.233417036838697,1,0,0,1,1
266,0.9857986864719261,0.9975091588365256,1.058263259964639,1,0,1,227942.73637298285,1,37425.53718702499,3.872683417607534,1,0,1,0,1
267,0.9895147245620799,0.9835988226530873,0.8910572417020164,1,0,1,210479.69486689894,1,31415.235183270233,4.007643539402201,1,0,0,1,1
268,0.9887356399226005,0.9967329510905496,1.0692441866937639,1,0,1,224287.47825059638,1,37633.7189559388,3.9058808252269936,1,0,1,0,1
269,1.002957597856488,0.9942648484804694,0.8909816977964493,1,0,1,207796.0343735871,1,31930.81873027423,4.0861191886640755,1,0,0,1,1
270,0.999639198579328,1.001712806728996,0.9112562476085,1,1,1,218431.6658102547,1,32027.8398664139,3.9854588127459034,0,0,0,0,0
271,0.9848410001735474,1.0032413943267169,0.8938554833083656,1,0,1,234435.74662460462,1,32026.074323496417,3.8322099152630256,1,0,0,0,1
272,1.0045875170706677,1.0112365788341469,0.9716329275655908,1,0,1,222862.89548467757,1,34448.99428158096,3.978204879823753,1,0,0,0,1
273,0.9809294519654257,0.9983811060957057,0.9943292847372184,1,0,1,233588.8160121282,1,35455.24632867451,3.821065919063385,1,0,1,0,1
274,0.9869070551107472,0.9851371887082508,0.9569047328411654,1,0,1,214628.53920261562,1,33306.473102249955,3.961096070731104,1,0,0,0,1
275,1.0119910395789327,1.0014665988820144,0.8878169570136517,1,0,1,206058.84120302403,1,32164.157963867405,4.13881943177269,1,0,0,1,1
276,0.9792552768202928,1.01672443383997,0.9358797636814278,1,0,1,252644.16954208957,1,34656.51155017284,3.708238410042064,1,0,0,0,1
277,0.971630497884703,1.0051027660960397,1.0045711719278074,1,0,1,249151.82690807327,1,36759.9164073386,3.6972961504585036,1,0,1,0,1
278,0.9989332297017839,0.988827599684497,1.0626089512530985,1,0,1,206343.37744256796,1,37951.7102130433,4.082717157503132,1,0,1,1,1
279,1.009588441920741,1.0108177469055795,0.9557742567894979,1,0,1,217591.67405794084,1,33761.49306367082,4.030438531924585,1,0,0,1,1
280,1.058981808316558,0.9963077842019966,1.1076363272866374,1,0,1,154520.6559500282,1,45738.18356697393,4.898027285118686,1,0,1,1,1
281,1.0044383444639173,0.9994447619094309,0.9401953522845768,1,0,1,211481.14212697424,1,33420.665244003685,4.0592458875205235,1,0,0,1,1
282,0.9864898247396658,0.9729816381256502,0.9185281429403386,1,0,1,202739.80499387003,1,32849.0612441959,4.064739109363308,1,0,0,1,1
283,0.9996432920707042,1.0034896112886496,1.011953923033368,1,0,1,220165.62523876148,1,35615.743487372194,3.9745136566100276,1,0,1,0,1
284,1.0038426928581938,0.9989736175896026,0.9462606339376951,1,0,1,211601.324644666,1,33607.53890339842,4.055819178094285,1,0,0,1,1
285,1.0502138746455023,0.9861802145576017,1.1387558217404308,1,0,1,152529.25569212614,1,46862.708494544335,4.882162173438497,1,0,1,1,1
286,1.041251823939425,1.0162000079155904,1.004058423900468,1,0,1,192147.40275355347,1,38217.165432431466,4.395909732201853,1,0,1,1,1
287,1.0204734429309146,1.0100327130182638,1.0522647512289176,1,0,1,206227.96291926422,1,38224.462819625216,4.1719187379266405,1,0,1,1,1
288,0.9831830126039005,0.9989387338098128,0.936621069393835,1,0,1,231909.37269294303,1,33359.71354115996,3.839951237193724,1,0,0,0,1
289,1.0099022005132268,0.9857379967419017,0.8702095680269667,1,0,1,192283.70822128636,1,32426.92592461807,4.262174581769849,1,0,0,1,1
290,0.9824637825580116,0.9890108719975788,0.9134320238615401,1,0,1,222906.7725487454,1,32034.300767432695,3.889767867565677,1,0,0,0,1
291,1.0087563359918272,1.0053371761715373,0.8524575604848682,1,0,1,213050.23622734006,1,30349.948791672927,4.062875592501306,1,0,0,1,1
292,1.0182222571211839,1.009359999476951,1.0422224249123178,1,0,1,207759.37449080794,1,37674.67847381122,4.148651349627237,1,0,1,1,1
293,1.0040870730239935,1.0031967009256324,1.188731204779453,1,0,1,215522.52374756255,1,41641.33345873391,4.02228446942866,1,0,1,1,1
294,0.9743208336244277,1.011767399013001,1.1839421201803741,1,0,1,252799.75138636213,1,43624.80357068852,3.6860601932334363,1,0,1,0,1
295,0.9981096763261195,0.9874431697037663,1.003881739525239,1,0,1,205770.39511876227,1,35920.4972402053,4.0846143536814585,1,0,1,1,1
296,1.0279117187092532,0.9958737540881851,1.1311169255895968,1,0,1,184752.24649822147,1,43147.37856838804,4.415266115665185,1,0,1,1,1
297,0.9887271859774835,0.9969787615704635,1.04758721016398,1,0,1,224536.36520847166,1,36897.79238190446,3.9044809938917076,1,0,1,0,1
298,1.0120290483838024,1.0030525390691567,0.8866134657957444,1,0,1,207593.1139755306,1,32013.37688721759,4.124949329866886,1,0,0,1,1
299,1.0012237834409348,1.01706262702415,0.8489871000137872,1,0,1,231713.2856602082,1,30541.495788325978,3.912763521361632,1,0,0,0,1
300,0.9875834121047431,1.0107378103220626,1.144911277498071,1,0,1,238928.33622402867,1,41294.027196387455,3.815711022710394,1,0,1,0,1
301,1.0073709653561478,0.988037282439108,0.9786012766696881,1,0,1,197148.5611658782,1,35946.61647843205,4.204054211571663,1,0,1,1,1
302,1.003054897904612,0.9932499148696504,1.0704712552679132,1,0,1,206685.8077869811,1,38318.20042565505,4.096427647926408,1,0,1,1,1
303,0.9758270236057806,1.004865340496786,1.0536552959064611,1,0,1,244819.45713277732,1,38265.299934875664,3.737121489660852,1,0,1,0,1
304,0.9868270988264387,1.008780205347693,1.0547804454431293,1,0,1,237800.69053805718,1,37989.760958138555,3.8197860045450414,1,0,1,0,1
305,1.0070709711348398,0.990559088817943,0.7807815516704092,1,0,1,199999.51655428577,1,28617.78985734372,4.175544628037752,1,0,0,1,1
306,1.0077398764390615,0.9886225399978736,0.9302963088695443,1,0,1,197375.2543271538,1,34199.82196606426,4.203419413995991,1,0,0,1,1
307,1.0003581934233932,1.0146034793370102,0.9271726780500706,1,0,1,230205.58356972813,1,33220.05354338226,3.9178211473886173,1,0,0,0,1
308,0.9940718585962037,1.0238432354235951,0.9814994268859044,1,0,1,244996.7399625781,1,36006.21711655947,3.807701697716347,1,0,1,0,1
309,1.0311002599818833,0.9965243510828901,0.9905013285864782,1,0,1,182267.853863066,1,38172.23032222443,4.455088671642208,1,0,1,1,1
310,0.9768940045853727,0.9990986556579161,1.0330739909200302,1,0,1,238255.8125227476,1,37065.41653030543,3.7783195151456535,1,0,1,0,1
311,1.012869500588004,1.0024135970366579,1.0091072449749459,1,0,1,206135.9730065841,1,36484.5993754583,4.141672656267777,1,0,1,1,1
312,1.0162629724946644,1.0127621665683788,0.9350955880390676,1,0,1,212995.4319852129,1,33430.966470463376,4.093582911498191,1,0,0,1,1
313,0.9821080388470537,1.0035616028123233,0.9882303682174727,1,0,1,237422.47537561634,1,35512.58230911664,3.8038157314907015,1,0,1,0,1
314,0.9923694975391082,1.0066272940369543,1.0214962541045802,1,0,1,230327.17623336893,1,36414.121170789695,3.8850290538842867,1,0,1,0,1
315,0.9882272090007095,0.9987171832586444,0.88491917182292,1,0,1,226726.81443932105,1,31340.048251239703,3.890413333849435,1,0,0,0,1
316,0.9893376451344947,0.9877710383957041,1.0269594854490438,1,0,1,214835.56594247738,1,35743.38972420758,3.9690484333056766,1,0,1,0,1
317,1.001525400035454,1.0108936668288848,1.0720193936529459,1,0,1,225510.88851159508,1,38060.12373803628,3.949642586864446,1,0,1,0,1
318,0.9814559809383159,0.993276883930233,1.0091545645137237,1,0,1,228101.3710476678,1,35640.344199293955,3.854754629757472,1,0,1,0,1
319,1.0059633861930373,1.005570637226651,1.0107356273136268,1,0,1,216011.4622190976,1,35559.65169810189,4.02564844919818,1,0,1,1,1
320,1.0306933427152947,1.0040155813378835,0.7852116910089495,1,0,1,190260.2202987385,1,29901.729725161153,4.370465975381924,1,0,0,1,1
321,0.9986986226188248,1.0096087818850663,0.9186962544438747,1,0,1,227024.63578140747,1,32715.593607452443,3.9300513688337415,1,0,0,0,1
322,0.9800866518506115,1.0034495047030256,1.023474624792356,1,0,1,239296.34418940247,1,36857.21399967292,3.7850104642524003,1,0,1,0,1
323,1.0021001497031052,0.9866062727778333,0.9303296206713866,1,0,1,200948.98508157593,1,33795.025375368015,4.145928554748674,1,0,0,1,1
324,0.9786777801121638,1.0028392958445904,1.109148014718117,1,0,1,240093.56939219206,1,39933.903347420026,3.774362010059892,1,0,1,0,1
325,1.0199932625034152,1.025643354516649,1.0122893587008561,1,0,1,221814.09949344647,1,36101.51295766353,4.0459697638723,1,0,1,1,1
326,1.012066283512703,1.0032951301441142,1.013992909068685,1,0,1,207796.5869217649,1,36500.535202117084,4.123198845359955,1,0,1,1,1
327,1.0007553345985574,1.0073202932877228,1.00616820497729,1,0,1,222806.0420693003,1,35581.96093120357,3.9630707996852177,1,0,1,0,1
328,0.96466299769143,1.0065857527280533,1.0778940546372697,1,0,1,257361.1629834405,1,39997.2871083683,3.625071917869513,1,0,1,0,1
329,1.0361927825002275,0.9975976162150294,0.9592467540226024,1,0,1,178341.76431261632,1,37417.019617456455,4.519200930289006,1,0,1,1,1
330,0.9988874255425254,1.003233702872375,1.0054987652364926,1,0,1,220656.7273660953,1,35404.341311208605,3.968533258263487,1,0,1,0,1
331,1.0200028154677714,1.0079302903011684,1.0717954162392092,1,0,1,204614.32955856813,1,39042.318522754926,4.185156557569855,1,0,1,1,1
332,0.9624217975488711,1.0039827217507673,1.0287020878748516,1,0,1,257112.84569178818,1,38134.14473951933,3.618303717279163,1,0,1,0,1
333,0.99291511195407,0.9956892963394831,0.9568086096641623,1,0,1,219136.05304985086,1,33526.13841977855,3.9539716244278686,1,0,0,0,1
334,1.018337357170568,0.9882861223205538,0.9889227146860955,1,0,1,186486.60614137084,1,37433.66420189799,4.3563142749007655,1,0,1,1,1
335,1.0229222058815022,1.0056193471694095,1.019489404020579,1,0,1,199471.52787515725,1,37676.229075181305,4.2463762061378585,1,0,1,1,1
336,0.968439895819871,0.9968876125592272,1.0151817779775774,1,0,1,244464.26070966222,1,36725.844962450356,3.710587091225975,1,0,1,0,1
337,0.979930038760927,0.997452995331806,0.9265197841937394,1,0,1,233675.22349129745,1,33052.26125847557,3.817039088027084,1,0,0,0,1
