run,final_altitude_km,final_velocity_m_s,success
114,445.28720273822455,7737.644922109806,0
115,373.6174278691877,7519.463085408528,0
116,463.9698176308079,7791.197900928815,0
117,280.75718693778384,7276.968106696292,0
118,234.87704627237747,7156.573246398731,0
119,603.8067505925894,8222.196818216915,0
120,394.7244094841229,7579.540312403145,0
121,523.6080172689194,7975.006758592751,0
122,234.8108820601003,7159.7160852688985,0
123,397.7580674107354,7589.498066102842,0
124,425.6574884020062,7681.975940396096,0
125,344.7583262760695,7450.961688470663,0
126,462.8211103557814,7769.3239306602645,0
127,440.5889995561475,7719.633510899497,0
128,569.8989928907603,8112.58411340867,0
129,344.6373551963307,7449.15273782126,0
130,360.79548499594256,7492.940553077017,0
131,355.0079442195464,7477.1967818799185,0
132,487.34761833524146,7865.710452963736,0
133,327.98745651895183,7404.151359060109,0
134,454.622962348599,7757.283204919794,0
135,346.4418121405821,7445.390865870926,0
136,468.755173908839,7814.307344042615,0
137,464.9276168719754,7788.364108050025,0
138,453.86295626191793,7760.61926501722,0
139,427.41036036901085,7673.540105876293,1
140,500.8327247053478,7886.967554034533,0
141,474.69537662044445,7820.685969732722,0
142,381.9605255654147,7541.727204387171,0
143,566.7707724275124,8102.744582475708,0
144,385.5538507345142,7561.321856101313,0
145,353.4256362607665,7462.3314448103565,0
146,521.271733569067,7953.570530778565,0
147,372.047814605061,7524.125614561323,0
148,437.69372960477506,7700.769697774047,0
149,460.3754576112712,7765.094031671093,0
150,554.6216057161288,8064.286724643219,0
151,344.49305640162993,7449.468704588568,0
152,511.5883665463943,7924.141114993051,0
153,291.99638523959925,7302.446119510572,0
154,459.72060786753894,7774.192666744806,0
155,423.9975762223098,7659.404666620908,1
156,602.0484428650225,8220.310272230834,0
157,316.7634444995476,7367.036200467336,0
158,353.73145703267863,7471.648818051121,0
159,429.0850941326655,7688.354762789603,0
160,430.4000244352482,7679.4309429599625,0
161,541.4233226265935,7999.478378439699,0
162,318.6171332454104,7384.3984094978805,0
