trial,label,status,solver_success,mission_success,progress,time_s,downrange_km,ellipsoidal_altitude_km,velocity_m_s,mass_kg,x_m,y_m,z_m
3,time_plus,MISSION_OK,1,1,0.29,173.582454609,169.623062173,104.232831224,3324.08537383,1219423.64796,-482124.410877,-5813602.75851,2817454.43573
3,time_plus,MISSION_OK,1,1,0.293333333333,175.577655237,174.862801362,106.695355762,3340.68447333,1211554.43258,-476173.755758,-5816442.94216,2818271.21982
3,time_plus,MISSION_OK,1,1,0.296666666667,177.572855864,180.143729731,109.151341362,3357.53681858,1203685.25441,-470175.074163,-5819276.00296,2819079.90647
3,time_plus,MISSION_OK,1,1,0.3,179.568056492,185.459153368,111.602087908,3374.59214203,1195816.09703,-464136.206715,-5822103.24919,2819881.88534
3,time_plus,MISSION_OK,1,1,0.303333333333,181.56325712,190.809542115,114.047667289,3391.85397332,1187946.96192,-458056.634751,-5824924.68509,2820677.10587
3,time_plus,MISSION_OK,1,1,0.306666666667,183.558457747,196.201096875,116.487432672,3409.36792972,1180077.86785,-451929.179062,-5827739.44924,2821464.45201
3,time_plus,MISSION_OK,1,1,0.31,185.553658375,201.620654804,118.923369854,3427.04701052,1172208.79345,-445769.171788,-5830549.75106,2822246.47874
3,time_plus,MISSION_OK,1,1,0.313333333333,187.548859003,207.08269179,121.35369553,3444.97958135,1164339.75407,-439559.819273,-5833353.3993,2823020.49259
3,time_plus,MISSION_OK,1,1,0.316666666667,189.544059631,212.580659381,123.779498639,3463.13001082,1156470.752,-433308.760264,-5836151.55748,2823787.79594
3,time_plus,MISSION_OK,1,1,0.32,191.539260258,218.114266826,126.200975912,3481.48715108,1148601.77211,-427016.35852,-5838944.36363,2824548.48866
3,time_plus,MISSION_OK,1,1,0.323333333333,193.534460886,223.688250194,128.61774495,3500.09304387,1140732.84382,-420677.151678,-5841731.21759,2825301.74627
3,time_plus,MISSION_OK,1,1,0.326666666667,195.529661514,229.302362503,131.030077741,3518.93370494,1132863.94738,-414291.459263,-5844512.3025,2826047.68556
