time_s,delta_r_m,log_delta_r
81.1327223889,64.4393343631,4.16572422869
81.4321051283,64.995604024,4.17431963721
81.7314878678,65.555323938,4.18289442641
82.0308706072,66.1185180296,4.19144885936
82.3302533466,66.6851905299,4.19998289723
82.6296360861,67.2553609597,4.20849673218
82.9290188255,67.8290521413,4.21699060083
83.228401565,68.4062746697,4.22546455536
83.5277843044,68.9870383254,4.2339186366
83.8271670439,69.5713673853,4.24235309456
84.1265497833,70.1592870274,4.25076818592
84.4259325227,70.7508161012,4.25916407146
84.7253152622,71.3459565318,4.26754067142
85.0246980016,71.9447320988,4.27589821451
85.3240807411,72.5471602644,4.28423683679
85.6234634805,73.1532442622,4.2925564773
85.92284622,73.7630097335,4.30085738283
86.2222289594,74.3764822973,4.30913979371
86.5216116988,74.993678107,4.31740381808
86.8209944383,75.614604573,4.32564944671
87.1203771777,76.2392877192,4.33387691669
87.4197599172,76.8677496597,4.34208640831
87.7191426566,77.5000020347,4.35027796261
88.0185253961,78.1360450241,4.35845147437
88.3179081355,78.7759014242,4.3666071306
88.6172908749,79.4195911335,4.37474507753
88.9166736144,80.0671241054,4.38286533418
89.2160563538,80.7185223862,4.39096807045
89.5154390933,81.3738090588,4.3990534652
89.8148218327,82.0330084012,4.40712170774
90.1142045721,82.6961294202,4.41517279828
90.4135873116,83.3631955844,4.42320691202
90.712970051,84.0342272412,4.43122418301
91.0123527905,84.7092337992,4.43922461342
91.3117355299,85.3882357975,4.44720833718
91.6111182694,86.0712670102,4.45517563925
91.9105010088,86.7583500839,4.46312666876
92.2098837482,87.4494910283,4.4710613813
92.5092664877,88.1447169602,4.47897997466
92.8086492271,88.8440380815,4.48688245141
93.1080319666,89.5474625654,4.49476879271
93.407414706,90.2550290657,4.50263931938
93.7067974455,90.9667542802,4.51049410218
94.0061801849,91.6826648141,4.51833331902
94.3055629243,92.4027711416,4.52615696891
94.6049456638,93.1271008839,4.53396523627
94.9043284032,93.8556799928,4.54175828323
95.2037111427,94.5885269796,4.54953618942
95.5030938821,95.325657373,4.55729900184
95.8024766216,96.0670989274,4.56504689448
96.101859361,96.8128784285,4.57278002705
96.4012421004,97.5630021962,4.58049834569
96.7006248399,98.3174989078,4.58820202665
97.0000075793,99.0763956608,4.59589122589
97.2993903188,99.8397210336,4.60356611048
97.5987730582,100.607497567,4.61122678339
97.8981557977,101.37973929,4.61887326143
98.1975385371,102.156472372,4.62650568071
98.4969212765,102.937723034,4.63412417463
98.796304016,103.723508267,4.6417287845
99.0956867554,104.513851399,4.6493196119
99.3950694949,105.308778902,4.65689678605
99.6944522343,106.108308111,4.66446034709
99.9938349737,106.912467254,4.67201043662
100.293217713,107.721281114,4.67954716088
100.592600453,108.534775193,4.68707063032
100.891983192,109.352974951,4.69458095253
101.191365932,110.175899764,4.70207817738
101.490748671,111.003576956,4.70956242562
101.79013141,111.836008734,4.71703359056
102.08951415,112.673228039,4.72449184215
102.388896889,113.515272365,4.73193738615
102.688279629,114.362169071,4.73937033432
102.987662368,115.21393934,4.74679074215
103.287045108,116.070610612,4.75419871809
103.586427847,116.932222078,4.76159446846
103.885810586,117.798785624,4.76897796237
104.185193326,118.670325195,4.77634927201
104.484576065,119.546872951,4.78370853673
104.783958805,120.428466674,4.7910559391
105.083341544,121.315116993,4.79839143302
105.382724284,122.206860981,4.80571519067
105.682107023,123.103722714,4.81302727411
105.981489763,124.005733878,4.82032780549
106.280872502,124.912908488,4.82761676238
106.580255241,125.825276789,4.83489425245
106.879637981,126.742863958,4.84216034075
107.17902072,127.665714506,4.84941524231
107.47840346,128.593854777,4.8566590251
107.777786199,129.527295698,4.86389163652
108.077168939,130.466072741,4.87111321396
108.376551678,131.410214515,4.87832383907
108.675934418,132.359752752,4.88552361506
108.975317157,133.314714459,4.89271260713
109.274699896,134.275133882,4.89989093287
109.574082636,135.241050096,4.90705874249
109.873465375,136.212476718,4.91421599538
110.172848115,137.189445529,4.9213627847
110.472230854,138.171986731,4.92849918985
110.771613594,139.160124686,4.93562524627
111.070996333,140.153896695,4.94274108097
111.370379073,141.153334125,4.94984677557
111.669761812,142.158467652,4.95694240475
111.969144551,143.169327589,4.96402803877
112.268527291,144.18594782,4.97110377087
112.56791003,145.208356561,4.97816965281
112.86729277,146.236589835,4.98522578847
113.166675509,147.270677104,4.99227223443
113.466058249,148.310651883,4.99930907315
113.765440988,149.356554625,5.00633643138
114.064823728,150.408421396,5.01335440327
114.364206467,151.466266198,5.02036293479
114.663589206,152.530139652,5.02736221358
114.962971946,153.600052617,5.03435216327
115.262354685,154.676056996,5.04133297505
115.561737425,155.758180472,5.04830467938
115.861120164,156.846463287,5.05526738601
116.160502904,157.940932647,5.06222111912
116.459885643,159.041632455,5.06916600729
116.759268383,160.148599556,5.07610213144
117.058651122,161.261857851,5.08302949003
117.358033861,162.381443529,5.08994815721
117.657416601,163.507413088,5.0968583293
117.95679934,164.639781664,5.10375994594
118.25618208,165.778594036,5.11065312723
118.555564819,166.92389175,5.11753797051
118.854947559,168.075711432,5.12441454117
119.154330298,169.234094368,5.13128293023
119.453713038,170.399080206,5.13814321653
119.753095777,171.570701434,5.14499543491
120.052478516,172.749003102,5.15183969188
120.351861256,173.934022536,5.15867604648
120.651243995,175.125806719,5.16550461118
120.950626735,176.324374612,5.1723253363
121.250009474,177.529777403,5.17913835486
121.549392214,178.742078239,5.18594386305
121.848774953,179.961300775,5.19274183208
122.148157692,181.187488317,5.1995323422
122.447540432,182.420684034,5.20631547052
122.746923171,183.660929041,5.21309128066
123.046305911,184.908266775,5.21985984683
123.34568865,186.162742141,5.22662124891
123.64507139,187.424393877,5.23337553144
123.944454129,188.693265901,5.24012276494
124.243836869,189.969387868,5.2468629427
124.543219608,191.252825785,5.25359624794
124.842602347,192.543636361,5.26032281043
125.141985087,193.841848321,5.26704261175
