phase,interval_index,position_defect_m,velocity_defect_m_s,mass_defect_kg,max_relative_defect
boost,131,9.31322574615e-10,4.54747350886e-13,0,1.8119544036e-16
boost,132,1.04125029291e-09,5.11590769747e-13,2.32830643654e-10,1.78837991941e-16
boost,133,4.65661287308e-10,5.68434188608e-14,2.32830643654e-10,1.65964480967e-16
boost,134,0,5.11590769747e-13,0,1.74293139586e-16
boost,135,1.16415321827e-10,5.68434188608e-14,0,2.10531786723e-16
boost,136,0,4.54747350886e-13,0,1.69961553866e-16
boost,137,0,4.5828629415e-13,0,1.67871042937e-16
boost,138,9.3857033042e-10,4.5828629415e-13,2.32830643654e-10,2.13945243092e-16
boost,139,9.3857033042e-10,5.11590769747e-13,0,2.15136761381e-16
ship,0,1.04125029291e-09,5.11590769747e-13,0,1.65713680814e-16
ship,1,0,2.34371420084e-13,2.32830643654e-10,1.82627181842e-16
ship,2,9.31322574615e-10,9.37485680337e-13,0,3.17157951681e-16
ship,3,5.82076609135e-11,4.54747350886e-13,0,1.5686169235e-16
ship,4,0,5.11590769747e-13,0,1.58703800179e-16
ship,5,1.04287597742e-09,2.27373675443e-13,0,1.65313884782e-16
ship,6,4.65661287308e-10,0,2.32830643654e-10,1.9208285845e-16
ship,7,9.3857033042e-10,2.27373675443e-13,0,2.49129881837e-16
ship,8,9.31322574615e-10,5.68434188608e-14,2.32830643654e-10,1.96145019477e-16
ship,9,0,5.11590769747e-13,2.32830643654e-10,1.98241200155e-16
ship,10,0,2.34371420084e-13,0,1.61944131087e-16
ship,11,5.82076609135e-11,0,0,1.36039594032e-16
ship,12,4.65661287308e-10,0,0,1.64800523542e-16
ship,13,9.33139791123e-10,2.34371420084e-13,2.32830643654e-10,2.07093806041e-16
ship,14,0,2.34371420084e-13,0,1.63989951778e-16
ship,15,9.31322574615e-10,5.11590769747e-13,0,1.6448718854e-16
ship,16,5.82076609135e-11,0,0,1.54773092819e-16
ship,17,5.82076609135e-11,5.68434188608e-14,0,1.64110858937e-16
ship,18,5.82076609135e-11,2.27373675443e-13,0,1.65945422213e-16
ship,19,0,2.27373675443e-13,0,1.66420562564e-16
ship,20,0,5.68434188608e-14,0,1.72637108385e-16
ship,21,5.82076609135e-11,2.27373675443e-13,1.16415321827e-10,1.81158270986e-16
ship,22,5.82076609135e-11,4.54747350886e-13,0,3.35628930908e-16
ship,23,0,0,0,0
ship,24,5.82076609135e-11,4.54747350886e-13,0,2.0287197411e-16
ship,25,9.31322574615e-10,5.08422994585e-13,1.16415321827e-10,1.69163807608e-16
ship,26,1.04125029291e-09,5.08422994585e-13,1.16415321827e-10,1.69604448348e-16
ship,27,1.04125029291e-09,2.27373675443e-13,2.32830643654e-10,2.45452111789e-16
ship,28,0,2.27373675443e-13,0,1.70473273559e-16
ship,29,1.04125029291e-09,0,1.16415321827e-10,1.63778212229e-16
ship,30,2.91038304567e-11,2.27373675443e-13,1.16415321827e-10,1.71327242028e-16
ship,31,4.6928516521e-10,2.27373675443e-13,0,2.88327618721e-16
ship,32,9.31322574615e-10,4.5828629415e-13,0,2.20754044339e-16
ship,33,9.31777210998e-10,5.11590769747e-13,0,2.26311921149e-16
ship,34,2.91038304567e-11,9.09938682615e-13,0,2.20728152077e-16
ship,35,1.04125029291e-09,2.29143147075e-13,0,1.73419662035e-16
ship,36,0,2.27373675443e-13,0,1.7384245698e-16
ship,37,0,2.29143147075e-13,1.16415321827e-10,1.75717140792e-16
ship,38,9.31777210998e-10,9.37916411203e-13,0,2.65392675836e-16
ship,39,0,9.09938682615e-13,1.16415321827e-10,2.11954824731e-16
ship,40,1.45519152284e-11,2.29143147075e-13,1.16415321827e-10,1.82960005127e-16
ship,41,9.31322574615e-10,2.29143147075e-13,0,3.26528244506e-16
ship,42,7.27595761418e-12,2.34371420084e-13,0,3.33322932111e-16
ship,43,4.65718127258e-10,2.29143147075e-13,0,1.90944907543e-16
ship,44,9.31322574615e-10,9.09494701773e-13,1.16415321827e-10,2.06728587033e-16
ship,45,1.81898940355e-12,0,2.32830643654e-10,2.95191204945e-16
ship,46,9.31322685638e-10,9.37485680337e-13,0,3.66987589815e-16
ship,47,4.65661287308e-10,2.27373675443e-13,0,2.02946516884e-16
ship,48,7.27595761418e-12,2.27373675443e-13,1.16415321827e-10,2.4526012608e-16
